filename,x,y
3686091634068724836.jpg,-12.694196,-1.3108535
3686784923117869456.jpg,-11.5268,2.2548902
3686834259650441814.jpg,-6.534313,4.698027
3686864754648072512.jpg,-2.0160296,-0.81308967
3687514045221783535.jpg,-12.369355,0.21780635
3687927406143942273.jpg,-5.265966,1.0419096
3688247259758456415.jpg,-12.059712,-0.1500776
3688828517546847066.jpg,-12.19807,-0.8485444
3689016482259881096.jpg,-5.002535,10.309315
3689424618037562973.jpg,-8.23552,3.3401632
3689534990141715658.jpg,-7.960892,4.3364563
3689685867291796778.jpg,-6.7753253,3.6897857
3690219287080201705.jpg,-8.486607,0.86188585
3690428410841382643.jpg,-2.6473768,3.1523595
3691084367053083760.jpg,-3.1779459,1.0223163
3691098810809970151.jpg,-8.091217,2.8987198
3691637370021678354.jpg,-11.161022,1.3155679
3691709574587859167.jpg,-7.3006325,4.354067
3691845902738393824.jpg,-7.9653296,3.1659038
3691880665734111845.jpg,-12.574255,1.2796628
3691896087929807978.jpg,-6.403466,0.7946642
3691929182657584789.jpg,-7.231842,1.3984058
3692624172800213048.jpg,-6.568343,0.46147695
3693151501291676084.jpg,-9.193324,4.1074386
3694095749810187331.jpg,-8.546959,2.238656
3694863424941324271.jpg,-11.157704,2.3179636
3695259617387271452.jpg,-11.165071,-2.5194528
3695561177434403919.jpg,-11.6363945,1.1330482
3696223309272475093.jpg,-6.6372466,-0.8320669
3696938772935530345.jpg,-7.3800244,3.7640424
3697019466429001950.jpg,-5.654279,-0.3157
3697387127574842062.jpg,-3.5921354,4.025122
3697467850705077815.jpg,-7.780838,3.787279
3697480339982369648.jpg,-4.9423804,0.9395946
3697749717924960669.jpg,-4.090758,10.109097
3698108027509133636.jpg,-7.496198,4.7296357
3698194522193973115.jpg,-3.2111604,0.40204898
3698357274007316444.jpg,-7.837859,1.9826797
3698420732090527233.jpg,-8.687446,4.5092573
3699581585288745792.jpg,-6.6520343,4.9654036
3699899017161080047.jpg,-1.6196306,1.0532631
